id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8A,B11,B12,NDVI,BSI,EVI,AVI,SAVI,NDMI,C,S,SWHC,Sand (%),Silt (%),Clay (%),SOC
37,127.5211756,37.26915175,2022/10/15,2022-10-19,2735,3456,4111,4570,4686,4826,4922,5863,4605,0.089781911,0.131416255,0.223379056,-2540.981063,0.128202494,-0.087250811,,,,,,,0.85 
38,127.5203222,37.26949045,2022/10/15,2022-10-19,2119,2829,3799,4260,4440,4565,4580,5555,4323,0.093209214,0.165389647,0.170041367,-2386.110164,0.133095958,-0.096201283,,,,,,,1.08 
39,127.5194183,37.27284545,2022/10/15,2022-10-19,2335,3010,3657,4076,4410,4576,4657,5427,4258,0.120279047,0.130131874,0.275103164,-2572.591369,0.171749638,-0.076358588,,,,,,,0.88 
40,127.5188569,37.27338611,2022/10/15,2022-10-19,2383,2999,3457,3988,4276,4430,4500,5067,3719,0.131079553,0.106510028,0.353775185,-2531.377129,0.187171533,-0.059266228,,,,,,,0.69 
41,127.5184789,37.27395303,2022/10/15,2022-10-19,2350,2989,3712,4172,4449,4486,4638,5377,4157,0.110898204,0.130683585,0.249300022,-2516.580894,0.158354518,-0.073789316,,,,,,,0.61 
42,127.5220381,37.26977395,2022/10/15,2022-10-19,2184,2933,3834,4296,4478,4640,4640,5546,4384,0.095114468,0.15773883,0.178872614,-2429.203774,0.1358166,-0.088945612,,,,,,,1.04 
43,127.5227096,37.26934572,2022/10/15,2022-10-19,1911,2462,3204,3574,3717,3868,3937,4895,3996,0.102646688,0.161396716,0.207542896,-2098.660118,0.146570686,-0.108469203,,,,,,,1.04 
44,127.523696,37.26914646,2022/10/15,2022-10-19,1843,2415,3332,3744,3952,4024,4039,4795,4003,0.095916429,0.160254122,0.173123072,-2118.796759,0.136960708,-0.085578447,,,,,,,0.96 
45,127.5234968,37.26880228,2022/10/15,2022-10-19,1836,2390,3336,3700,3822,3996,4010,4918,3864,0.091750613,0.170780142,0.164278054,-2081.133959,0.131012242,-0.101702509,,,,,,,1.01 
46,127.5196223,37.26865667,2022/10/15,2022-10-19,2521,3362,4235,4658,4825,4949,5021,6073,4870,0.084917891,0.154957983,0.170506313,-2556.551468,0.121257142,-0.094826032,,,,,,,0.91 
47,127.5196544,37.2691177,2022/10/15,2022-10-19,2099,2772,3713,4147,4294,4474,4507,5530,4475,0.096593674,0.166382737,0.179743741,-2368.310694,0.137928585,-0.101922885,,,,,,,0.92 
48,127.5202443,37.26804501,2022/10/15,2022-10-19,2307,2961,3747,4160,4367,4510,4475,5456,4611,0.088542934,0.151454489,0.188493605,-2302.3114,0.126432728,-0.098781593,,,,,,,1.03 
49,127.5189234,37.27063588,2022/10/15,2022-10-19,2546,3333,4100,4522,4676,4846,4902,6069,5062,0.089091313,0.154453085,0.192640277,-2525.855672,0.127216347,-0.106371343,,,,,,,0.99 
50,127.5194,37.27098335,2022/10/15,2022-10-19,2310,2954,3560,4265,4421,4668,4739,5816,4661,0.142065309,0.141674277,0.335897436,-2709.211023,0.202858799,-0.102036949,,,,,,,0.92 
