id,xcoord(long),ycoord(lat),sampling date,sensing date,B2,B3,B4,B5,B6,B7,B8,B8A,B11,B12,NDVI,BSI,TVI,EVI,SATVI,SAVI,BI2,AVI,NDMI,SWHC,Sand (%),Silt (%),Clay (%),DSM,SOC
19,127.5360454,37.1194835,2022-8-27,2022-6-1,0.3608,0.4356,0.5224,0.5656,0.5849,0.6050,0.6082,0.6151,0.7895,0.63390,0.074035272,0.147901718,0.757651154,0.199529412,-0.316910724,0.11104806,0.308335665,-0.302408342,-0.124163463,0.307692308,0.433333333,0.566666667,0,0.653827115,1.08
19,127.5360454,37.1194835,2022-8-27,2022-9-24,0.2676,0.3302,0.3990,0.4322,0.4517,0.4640,0.4715,0.4830,0.6400,0.47230,0.095610752,0.159651669,0.771758221,0.247199578,-0.236103543,0.143407995,0.236644877,-0.253184627,-0.139804096,0.307692308,0.433333333,0.566666667,0,0.653827115,1.08
19,127.5360454,37.1194835,2022-8-27,2022-10-19,0.2412,0.2962,0.3832,0.3859,0.4044,0.4133,0.4633,0.4248,0.5477,0.40920,0.062531266,0.164552168,0.750020843,0.139477795,-0.204562519,0.093791034,0.212704743,-0.199654637,-0.126375321,0.307692308,0.433333333,0.566666667,0,0.653827115,1.08
19,127.5360454,37.1194835,2022-8-27,2022-10-24,0.2910,0.3806,0.4788,0.5273,0.5377,0.5659,0.5945,0.5794,0.7734,0.54070,0.0893025,0.182031764,0.767660407,0.182215743,-0.27030405,0.133947455,0.281809179,-0.298725425,-0.143406268,0.307692308,0.433333333,0.566666667,0,0.653827115,1.08
19,127.5360454,37.1194835,2022-8-27,2022-10-29,0.2814,0.3448,0.4256,0.4518,0.4576,0.4741,0.5063,0.4961,0.6689,0.50800,0.089371981,0.168553866,0.76770566,0.220560342,-0.253953087,0.134050612,0.243560485,-0.255823818,-0.14832618,0.307692308,0.433333333,0.566666667,0,0.653827115,1.08
19,127.5360454,37.1194835,2022-8-27,2022-6-11,0.3210,0.4006,0.4728,0.5316,0.5708,0.5972,0.5836,0.6126,0.7452,0.57490,0.127865231,0.132964633,0.792379474,0.329646858,-0.287405455,0.191789018,0.29115999,-0.342844335,-0.097657976,0.307692308,0.433333333,0.566666667,0,0.653827115,1.08
20,127.5230451,37.12571287,2022-8-27,2022-6-1,0.2722,0.3206,0.3662,0.3905,0.4363,0.4484,0.4692,0.4599,0.4782,0.39430,0.12568841,0.069791266,0.791004684,0.424766316,-0.197121035,0.188521079,0.22040218,-0.256453069,-0.019507515,0.452380952,0.507751938,0.492248062,0,0.482368279,0.09
21,127.523421,37.125635,2022-8-27,2022-6-1,0.2628,0.3116,0.3562,0.3847,0.4140,0.4346,0.4418,0.4403,0.4849,0.40020,0.099925056,0.088894615,0.774548292,0.333083521,-0.200070519,0.149878224,0.216480541,-0.233235217,-0.048205793,0.846153846,0.512676056,0.487323944,0,0.117450104,0.51
22,127.5230682,37.12507878,2022-8-27,2022-6-1,0.2416,0.2870,0.3354,0.3637,0.4000,0.4139,0.4200,0.4141,0.4514,0.36820,0.106331819,0.089560516,0.778673115,0.330729599,-0.184070254,0.159487077,0.201492768,-0.222550303,-0.043096476,0.475,0.444700461,0.555299539,0,0.271932251,0.30
23,127.5237643,37.12612157,2022-8-27,2022-6-1,0.2524,0.3008,0.3476,0.3701,0.4197,0.4354,0.4426,0.4341,0.4800,0.38200,0.116799588,0.095396487,0.785365895,0.348962337,-0.190966796,0.175188115,0.208816759,-0.23827271,-0.050213325,0.586956522,0.653526971,0.346473029,0,0.162797873,0.64
24,127.5249595,37.12756278,2022-8-27,2022-6-1,0.3014,0.3778,0.4720,0.5049,0.5236,0.5512,0.5720,0.5569,0.6681,0.54530,0.090570841,0.143477383,0.768486071,0.199715001,-0.27261403,0.135849611,0.270917655,-0.288119429,-0.09077551,0.714285714,0.484210526,0.421052632,0.094736842,0.613036167,1.51
24,127.5249595,37.12756278,2022-8-27,2022-9-24,0.2196,0.2754,0.3508,0.3915,0.4054,0.4251,0.4383,0.4343,0.5779,0.43090,0.112021508,0.1758647,0.782318035,0.239936383,-0.215400022,0.168021507,0.206255163,-0.236184055,-0.141869196,0.714285714,0.484210526,0.421052632,0.094736842,0.613036167,1.51
24,127.5249595,37.12756278,2022-8-27,2022-10-19,0.2180,0.2748,0.3524,0.3736,0.3873,0.4066,0.4279,0.4067,0.5126,0.41160,0.070967742,0.160675966,0.755624074,0.153064122,-0.205763073,0.106444605,0.201688412,-0.197737694,-0.115196345,0.714285714,0.484210526,0.421052632,0.094736842,0.613036167,1.51
24,127.5249595,37.12756278,2022-8-27,2022-10-29,0.1996,0.2412,0.3022,0.3181,0.3302,0.3475,0.3697,0.3551,0.4552,0.35210,0.093624885,0.15059871,0.77047056,0.239558708,-0.17600707,0.140426515,0.172844664,-0.1851963,-0.123534493,0.714285714,0.484210526,0.421052632,0.094736842,0.613036167,1.51
