id,xcoord,ycoord,BSI_211024,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66
2671115,365487.472,4113072.587,0.19952,2083,1433,4209,5122,3873,3515,3264,3184,2829
2671118,365547.472,4113072.587,0.22162,2079,1408,3582,4875,3495,3428,3279,3137,2820
2673396,365587.472,4113052.587,0.23335,1819,1276,3542,4591,3179,3163,3052,2766,2576
2671117,365527.472,4113072.587,0.23086,2108,1433,3766,5048,3531,3472,3338,3202,2896
2673395,365567.472,4113052.587,0.238,1374,965,2797,3904,2552,2475,2375,2255,1810
3087998,372987.472,4109412.587,0.20433,1851,1201,2765,4222,3318,3404,3212,3051,2618
3087997,372967.472,4109412.587,0.20645,1696,1103,2427,3981,3127,3178,3055,2842,2450
3602278,371067.472,4104892.587,0.19683,2034,1377,3289,4459,3381,3350,3264,3106,2631
2673392,365507.472,4113052.587,0.24326,1808,1190,3489,4596,3103,2996,2738,2663,2457
3602277,371047.472,4104892.587,0.19668,1832,1258,3047,4290,3245,3172,2979,2789,2418
2673391,365487.472,4113052.587,0.2477,2020,1371,3721,4846,3168,3044,3015,2911,2682
2673394,365547.472,4113052.587,0.2157,1906,1289,3087,4248,3116,2997,2868,2744,2580
2673393,365527.472,4113052.587,0.24219,1901,1282,3351,4647,3133,3071,3068,2916,2590
3285352,359827.472,4107672.587,0.21639,632,472,1656,2414,1641,1398,1207,997,866
3285353,359847.472,4107672.587,0.21746,714,557,2062,2818,1908,1593,1457,1213,1017
4360056,368467.472,4098232.587,0.23764,1611,1024,3050,4172,3023,2937,2755,2696,2398
4460243,369327.472,4097352.587,0.21743,1145,716,1689,2783,2122,2110,1952,1796,1632
4460240,369267.472,4097352.587,0.2382,1484,949,2640,3888,2804,2696,2578,2454,2212
2669292,374547.472,4113092.587,0.19953,1569,1081,2160,3430,2630,2545,2517,2380,2131
4460239,369247.472,4097352.587,0.23708,1444,925,2593,3839,2766,2753,2626,2510,2146
4460242,369307.472,4097352.587,0.23298,1189,765,1998,3179,2328,2326,2214,2065,1793
4460241,369287.472,4097352.587,0.24544,1289,826,2404,3642,2565,2551,2395,2236,1955
2669293,374567.472,4113092.587,0.19995,1456,968,1909,3206,2499,2531,2285,2235,1994
2168104,365187.472,4117492.587,0.22217,1706,1145,2963,4258,3030,2908,2757,2575,2302
2673390,365467.472,4113052.587,0.22956,1937,1331,3678,4607,3225,3058,3105,2878,2664
2673389,365447.472,4113052.587,0.23051,1954,1317,3796,4922,3445,3374,3042,3073,2693
5221254,340347.472,4090652.587,0.27649,887,540,2471,3173,2103,1969,1824,1711,1490
5221253,340327.472,4090652.587,0.26422,985,610,2677,3258,2172,1996,1839,1734,1522
4719944,374067.472,4095072.587,0.21436,1712,1203,3234,3879,2702,2678,2555,2452,2157
4719943,374047.472,4095072.587,0.21515,1644,1122,3195,3746,2659,2637,2510,2367,2108
4719945,374087.472,4095072.587,0.22331,1736,1218,3269,3905,2674,2696,2579,2488,2225
533861,363687.472,4131852.587,0.17047,884,571,1864,2292,2030,1885,1732,1594,1378
2812316,367267.472,4111832.587,0.22545,1994,1269,3659,4918,3673,3621,3448,3250,2901
2812315,367247.472,4111832.587,0.25012,1500,962,3142,4322,3018,2962,2853,2631,2313
2812317,367287.472,4111832.587,0.2045,2014,1292,3483,4596,3656,3554,3421,3198,2896
2812314,367227.472,4111832.587,0.24249,1445,899,2955,4101,2959,2820,2701,2604,2227
2812313,367207.472,4111832.587,0.23255,1397,881,2798,3862,2906,2814,2724,2535,2220
2448272,369587.472,4115032.587,0.21568,1924,1322,3348,4551,3371,3261,3242,3099,2723
2582888,376227.472,4113852.587,0.21048,2214,1525,3763,5075,3717,3624,3480,3296,2962
2448274,369627.472,4115032.587,0.21869,1832,1287,3171,4326,3095,3133,2984,2819,2509
2582887,376207.472,4113852.587,0.20933,2109,1478,3630,4891,3555,3353,3230,3133,2807
2448273,369607.472,4115032.587,0.20964,2011,1355,3389,4473,3399,3331,3224,3091,2803
2209116,366067.472,4117132.587,0.16085,2240,1585,3676,4757,3718,3473,3317,3186,2579
470307,367167.472,4132412.587,0.25203,1235,785,2343,3440,2447,2456,2342,2180,1970
2209115,366047.472,4117132.587,0.17598,2514,1805,4177,5237,3959,3921,3746,3570,2989
816116,364307.472,4129372.587,0.22194,1411,913,2549,3730,2875,2852,2676,2531,2219
816115,364287.472,4129372.587,0.21835,1771,1151,2882,4306,3381,3389,3178,3062,2758
816118,364347.472,4129372.587,0.21053,1297,873,2486,3461,2665,2598,2361,2272,1964
2209112,365987.472,4117132.587,0.16177,2481,1830,4076,5069,3981,3890,3697,3516,2985
816117,364327.472,4129372.587,0.21157,1256,827,2405,3350,2622,2535,2397,2218,1950
3345064,370547.472,4107152.587,0.23987,659,502,1484,2114,1309,1125,1066,980,840
2209114,366027.472,4117132.587,0.15869,2499,1818,4077,5147,4059,3862,3714,3564,2947
3345063,370527.472,4107152.587,0.24979,655,523,1502,2126,1264,1197,1071,983,851
2209113,366007.472,4117132.587,0.16644,2430,1792,4079,5100,3955,3824,3637,3507,2942
816114,364267.472,4129372.587,0.23489,1498,969,2731,4041,2961,3040,2847,2638,2302
4218948,368547.472,4099472.587,0.28547,1210,788,2754,3662,2173,2107,1975,1885,1665
3463228,366787.472,4106112.587,0.23672,1377,865,2965,3911,2822,2736,2579,2418,2063
3463227,366767.472,4106112.587,0.26013,1346,867,3071,4088,2768,2725,2583,2421,2103
3267396,364867.472,4107832.587,0.17523,2364,1732,3521,4702,3702,3650,3494,3392,3041
2948911,367967.472,4110632.587,0.22623,1589,1006,2546,4062,3023,2983,2810,2611,2323
4562546,366987.472,4096452.587,0.25671,1304,803,2504,3796,2673,2696,2499,2409,2081
2648388,366147.472,4113272.587,0.22366,1861,1273,3381,4690,3361,3266,3117,2940,2614
2648387,366127.472,4113272.587,0.21378,2081,1453,3590,4997,3615,3430,3292,3128,2827
2648390,366187.472,4113272.587,0.18491,1396,908,1951,3253,2625,2453,2306,2087,1883
2648389,366167.472,4113272.587,0.21071,1692,1196,2803,4079,2975,2922,2775,2519,2319
4715878,338267.472,4095092.587,0.21687,982,713,2433,3110,2203,1943,1823,1631,1421
4715877,338247.472,4095092.587,0.2337,895,620,2320,3018,2095,1895,1733,1548,1353
2853302,367627.472,4111472.587,0.20189,2009,1372,3518,4581,3522,3474,3238,3090,2789
2648386,366107.472,4113272.587,0.20206,2050,1445,3624,4963,3677,3488,3381,3257,2753
3049132,369507.472,4109752.587,0.20532,2080,1465,3274,4481,3286,3242,3106,2932,2725
2853301,367607.472,4111472.587,0.18548,2292,1603,3888,4833,3862,3715,3612,3416,3121
2648385,366087.472,4113272.587,0.2013,2042,1427,3591,4992,3721,3603,3399,3154,2751
3049131,369487.472,4109752.587,0.22868,1843,1349,3441,4724,3174,3084,2898,2815,2481
2948910,367947.472,4110632.587,0.23172,1746,1111,2702,4465,3282,3215,3121,2921,2578
2384580,370307.472,4115592.587,0.17203,1848,1283,3047,4092,3376,3213,3055,2824,2503
2948909,367927.472,4110632.587,0.24401,1848,1172,2918,4704,3359,3444,3283,3046,2752
2384579,370287.472,4115592.587,0.1733,1596,1131,2539,3494,2838,2751,2551,2383,2139
2384582,370347.472,4115592.587,0.1865,1762,1197,3065,4269,3420,3201,3034,2795,2465
3049130,369467.472,4109752.587,0.21862,1820,1312,3354,4664,3254,3041,2854,2797,2457
2384581,370327.472,4115592.587,0.18178,1819,1280,3152,4271,3426,3263,3115,2840,2526
2853304,367667.472,4111472.587,0.19247,1825,1299,3143,4181,3184,3079,2940,2756,2439
2853303,367647.472,4111472.587,0.18804,1788,1252,3191,4215,3271,3174,2989,2787,2403
2853305,367687.472,4111472.587,0.18775,1905,1360,3050,4129,3189,3052,2924,2847,2523
2384583,370367.472,4115592.587,0.18211,1760,1184,2975,4160,3388,3247,3054,2810,2448
