,B03_Green_,B02_Blue_4,B12_SWIR_2,B11_SWIR_1,B8A_VRE_86,B07_VRE_78,B06_VRE_74,B05_VRE_75,B04_Red_66,outlier
21,2903.0,2520.0,4410.0,5328.0,4900.0,4684.0,4482.0,3922.0,3371.0,False
22,3005.0,2595.0,5278.0,5854.0,4454.0,4370.0,4067.0,3805.0,3456.0,False
23,2694.0,2291.0,4446.0,5446.0,4696.0,4605.0,4234.0,3567.0,3205.0,True
24,2906.0,2523.0,5142.0,5944.0,4475.0,4269.0,4056.0,3761.0,3405.0,False
25,2688.0,2266.0,4300.0,5331.0,4637.0,4569.0,4178.0,3615.0,3194.0,True
26,2987.0,2580.0,4436.0,5333.0,4805.0,4666.0,4351.0,3813.0,3412.0,False
27,2917.0,2488.0,5144.0,6064.0,4567.0,4410.0,4128.0,3810.0,3429.0,False
28,3144.0,2650.0,5140.0,6244.0,5188.0,5021.0,4704.0,4239.0,3562.0,False
29,3013.0,2590.0,4447.0,5397.0,4949.0,4826.0,4473.0,3839.0,3451.0,True
30,2809.0,2436.0,4201.0,5361.0,4653.0,4553.0,4202.0,3509.0,3106.0,False
31,3144.0,2714.0,4322.0,5292.0,5042.0,4974.0,4643.0,4019.0,3576.0,False
32,3141.0,2680.0,4608.0,5434.0,5082.0,4913.0,4549.0,4057.0,3602.0,True
33,3254.0,2772.0,5109.0,6405.0,5042.0,4938.0,4638.0,4259.0,3867.0,False
34,2875.0,2413.0,4400.0,5435.0,4934.0,4844.0,4462.0,3757.0,3312.0,False
35,3451.0,2906.0,5259.0,6563.0,5211.0,5156.0,4822.0,4517.0,4091.0,False
36,3399.0,2851.0,5198.0,6575.0,5163.0,5117.0,4809.0,4482.0,4055.0,False
37,3275.0,2721.0,4798.0,5995.0,5194.0,5021.0,4735.0,4319.0,3881.0,False
38,2651.0,2265.0,4491.0,5369.0,4573.0,4512.0,4078.0,3517.0,3116.0,True
39,3393.0,2885.0,5520.0,6169.0,5006.0,4900.0,4583.0,4290.0,3871.0,True
40,3407.0,2900.0,5484.0,6133.0,5048.0,4909.0,4602.0,4334.0,3901.0,True
41,3467.0,2915.0,5555.0,6256.0,5083.0,4982.0,4693.0,4426.0,3965.0,True
42,3462.0,2924.0,5595.0,6270.0,5087.0,5015.0,4747.0,4405.0,3970.0,True
